Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,11.5,11.5,10.8,10.9,10.9,400
2014-01-03,10.9,11.2,10.8,11.0,11.0,700
2014-01-06,10.8,11.2,10.8,11.2,11.2,300
2014-01-07,11.2,11.8,11.1,11.3,11.3,3700
2014-01-08,11.9,11.9,11.5,11.5,11.5,0
2014-01-09,11.2,12.3,11.2,12.2,12.2,400
2014-01-10,12.0,12.3,11.5,11.6,11.6,1000
2014-01-13,12.1,12.3,11.8,12.3,12.3,100
2014-01-14,11.3,12.0,11.3,11.7,11.7,200
2014-01-15,12.1,12.2,11.8,12.2,12.2,700
2014-01-16,12.1,12.2,12.1,12.1,12.1,300
2014-01-17,12.2,12.2,12.0,12.2,12.2,300
2014-01-21,12.1,12.1,12.1,12.1,12.1,0
2014-01-22,11.8,12.1,11.6,11.6,11.6,800
2014-01-23,11.8,11.9,11.5,11.8,11.8,100
2014-01-24,11.9,11.9,11.5,11.5,11.5,300
2014-01-27,11.8,12.3,11.3,12.3,12.3,600
2014-01-28,12.3,12.3,12.3,12.3,12.3,0
2014-01-29,12.5,12.5,12.4,12.4,12.4,0
2014-01-30,12.4,12.4,11.8,12.4,12.4,200
2014-01-31,12.1,12.3,11.7,12.3,12.3,200
