Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2.1,2.3,2.1,2.25,2.25,5800
2019-01-03,2.02,2.39,2.02,2.39,2.39,3300
2019-01-04,2.13,2.35,2.13,2.35,2.35,900
2019-01-07,2.35,2.35,2.35,2.35,2.35,0
2019-01-08,2.45,2.45,2.45,2.45,2.45,100
2019-01-09,2.43,2.68,2.27,2.5,2.5,20900
2019-01-10,2.28,2.6,2.28,2.6,2.6,800
2019-01-11,2.6,2.6,2.6,2.6,2.6,0
2019-01-14,2.4,2.8,2.3,2.79,2.79,15400
2019-01-15,2.86,2.92,2.41,2.68,2.68,16100
2019-01-16,2.64,3.58,2.48,2.84,2.84,164300
2019-01-17,2.49,2.74,2.47,2.64,2.64,34800
2019-01-18,2.5,2.64,2.5,2.64,2.64,500
2019-01-22,2.5,2.57,2.41,2.41,2.41,3900
2019-01-23,2.6,2.69,2.37,2.37,2.37,3600
2019-01-24,2.57,2.57,2.57,2.57,2.57,300
2019-01-25,2.5,2.5,2.5,2.5,2.5,100
2019-01-28,2.32,2.47,2.31,2.35,2.35,3700
2019-01-29,2.28,2.45,2.28,2.31,2.31,1700
2019-01-30,2.3,2.52,2.3,2.52,2.52,4000
2019-01-31,2.32,2.36,2.32,2.36,2.36,2500
2019-02-01,2.38,2.54,2.38,2.54,2.54,400
2019-02-04,2.53,2.53,2.53,2.53,2.53,900
2019-02-05,2.53,2.53,2.53,2.53,2.53,100
2019-02-06,2.3,2.4,2.3,2.4,2.4,600
2019-02-07,2.31,2.49,2.25,2.3,2.3,66900
2019-02-08,2.26,2.38,2.25,2.38,2.38,8700
2019-02-11,2.34,2.45,2.25,2.45,2.45,1200
2019-02-12,2.42,2.42,2.42,2.42,2.42,300
2019-02-13,2.36,2.36,2.36,2.36,2.36,200
2019-02-14,2.3,2.33,2.25,2.26,2.26,6100
2019-02-15,2.28,2.4,2.25,2.25,2.25,12300
2019-02-19,2.32,2.32,2.22,2.22,2.22,3500
2019-02-20,2.22,2.22,2.22,2.22,2.22,0
2019-02-21,2.22,2.22,2.22,2.22,2.22,0
2019-02-22,2.18,2.31,2.18,2.31,2.31,2400
2019-02-25,2.31,2.31,2.31,2.31,2.31,100
2019-02-26,2.24,2.26,2.22,2.24,2.24,11300
2019-02-27,2.23,2.23,2.23,2.23,2.23,800
2019-02-28,2.3,2.3,2.21,2.22,2.22,1500
2019-03-01,2.27,2.4,2.27,2.4,2.4,11400
2019-03-04,2.27,2.27,2.24,2.24,2.24,5200
2019-03-05,2.22,2.26,2.22,2.26,2.26,600
2019-03-06,2.42,2.42,2.42,2.42,2.42,100
2019-03-07,2.24,2.24,2.23,2.23,2.23,900
2019-03-08,2.21,2.21,2.15,2.15,2.15,3700
2019-03-11,2.2,2.21,2.15,2.18,2.18,10100
2019-03-12,2.15,2.18,2.12,2.18,2.18,11300
2019-03-13,2.2,2.3,2.2,2.25,2.25,8000
2019-03-14,2.35,2.35,2.2,2.21,2.21,6200
2019-03-15,2.19,2.19,2.03,2.1,2.1,11300
2019-03-18,2.07,2.1,1.78,1.78,1.78,27800
2019-03-19,1.86,1.98,1.52,1.85,1.85,27000
2019-03-20,1.81,1.81,1.71,1.81,1.81,2200
2019-03-21,1.81,1.81,1.75,1.79,1.79,6300
2019-03-22,1.79,1.83,1.79,1.83,1.83,500
2019-03-25,1.7,1.77,1.55,1.73,1.73,23000
2019-03-26,1.73,1.73,1.73,1.73,1.73,0
2019-03-27,1.73,1.73,1.73,1.73,1.73,100
2019-03-28,1.73,2.39,1.64,2.2,2.2,568600
2019-03-29,1.98,2.04,1.58,1.63,1.63,71600
2019-04-01,1.71,1.79,1.55,1.55,1.55,17100
2019-04-02,1.67,1.77,1.55,1.59,1.59,21100
2019-04-03,1.65,1.73,1.65,1.73,1.73,2600
2019-04-04,1.65,1.83,1.65,1.74,1.74,26400
2019-04-05,1.74,1.74,1.58,1.58,1.58,10900
2019-04-08,1.52,1.63,1.52,1.6,1.6,6200
2019-04-09,1.59,1.6,1.52,1.52,1.52,6900
2019-04-10,1.54,1.8,1.53,1.61,1.61,30400
2019-04-11,1.57,1.62,1.55,1.55,1.55,40500
2019-04-12,1.63,1.66,1.57,1.57,1.57,5200
2019-04-15,1.55,1.6,1.55,1.58,1.58,18300
2019-04-16,1.74,1.74,1.38,1.48,1.48,58400
2019-04-17,1.48,1.52,1.42,1.45,1.45,38700
2019-04-18,1.43,1.44,1.4,1.4,1.4,20700
2019-04-22,1.44,1.54,1.44,1.49,1.49,17400
2019-04-23,1.5,1.54,1.44,1.5,1.5,12500
2019-04-24,1.49,1.49,1.49,1.49,1.49,400
2019-04-25,1.44,1.44,1.44,1.44,1.44,400
2019-04-26,1.46,1.46,1.42,1.44,1.44,2400
2019-04-29,1.38,1.41,1.36,1.39,1.39,8000
2019-04-30,1.38,1.39,1.31,1.38,1.38,3400
2019-05-01,1.38,1.38,1.38,1.38,1.38,200
2019-05-02,1.37,1.51,1.35,1.36,1.36,72700
2019-05-03,1.38,1.43,1.36,1.37,1.37,9800
2019-05-06,1.4,1.49,1.37,1.47,1.47,8300
2019-05-07,1.38,1.45,1.35,1.35,1.35,12300
2019-05-08,1.35,1.38,1.31,1.38,1.38,17800
2019-05-09,1.3,1.35,1.29,1.35,1.35,8400
2019-05-10,1.35,1.36,1.34,1.35,1.35,9400
2019-05-13,1.35,1.35,1.28,1.3,1.3,6200
2019-05-14,1.35,1.35,1.32,1.32,1.32,5300
2019-05-15,1.35,1.8,1.34,1.67,1.67,295800
2019-05-16,1.82,3.1,1.73,1.97,1.97,8788900
2019-05-17,1.88,1.88,1.51,1.65,1.65,425700
2019-05-20,1.61,1.62,1.47,1.47,1.47,154400
2019-05-21,1.47,1.63,1.42,1.53,1.53,72400
2019-05-22,1.53,1.54,1.45,1.49,1.49,29700
2019-05-23,1.43,1.55,1.43,1.48,1.48,37500
2019-05-24,1.46,1.68,1.46,1.66,1.66,88200
2019-05-28,1.72,1.73,1.54,1.64,1.64,136100
2019-05-29,2.84,8.72,2.56,7.0,7.0,36234700
2019-05-30,5.96,11.56,5.41,8.32,8.32,22915100
2019-05-31,9.71,11.12,7.15,7.29,7.29,10200300
2019-06-03,6.72,6.95,5.62,5.75,5.75,2167800
2019-06-04,6.01,6.6,5.45,5.45,5.45,966900
2019-06-05,5.5,5.61,4.57,4.85,4.85,660600
2019-06-06,4.68,5.25,4.64,4.82,4.82,385000
2019-06-07,4.8,5.6,4.7,5.45,5.45,1183200
2019-06-10,5.58,6.3,5.07,5.27,5.27,1338900
2019-06-11,5.07,5.45,5.06,5.21,5.21,166900
2019-06-12,5.11,5.46,4.93,5.35,5.35,604600
2019-06-13,5.4,5.4,5.06,5.11,5.11,160300
2019-06-14,5.04,5.18,4.29,4.3,4.3,386100
2019-06-17,4.32,4.48,4.21,4.31,4.31,107700
2019-06-18,4.32,4.33,3.9,4.03,4.03,152700
